JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456682.61888,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.588,Z,9.220,9.746,,SN 2014J,AAVSO,STD,,,,
2456682.618947,11.128,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.188,9.853,,SN 2014J,AAVSO,STD,,,,
2456682.61925,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.587,Z,9.220,9.758,,SN 2014J,AAVSO,STD,,,,
2456682.61961,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.586,Z,9.221,9.754,,SN 2014J,AAVSO,STD,,,,
2456682.61997,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.584,Z,9.224,9.765,,SN 2014J,AAVSO,STD,,,,
2456682.62033,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.583,Z,9.227,9.766,,SN 2014J,AAVSO,STD,,,,
2456682.62069,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.582,Z,9.228,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.62106,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.580,Z,9.213,9.770,,SN 2014J,AAVSO,STD,,,,
2456682.62142,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.579,Z,9.217,9.755,,SN 2014J,AAVSO,STD,,,,
2456682.62178,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.577,Z,9.215,9.760,,SN 2014J,AAVSO,STD,,,,
2456682.621782,11.130,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.180,9.844,,SN 2014J,AAVSO,STD,,,,
2456682.62213,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.576,Z,9.210,9.747,,SN 2014J,AAVSO,STD,,,,
2456682.62249,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.575,Z,9.220,9.766,,SN 2014J,AAVSO,STD,,,,
2456682.62286,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.573,Z,9.223,9.748,,SN 2014J,AAVSO,STD,,,,
2456682.62322,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.572,Z,9.220,9.760,,SN 2014J,AAVSO,STD,,,,
2456682.62358,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.571,Z,9.221,9.775,,SN 2014J,AAVSO,STD,,,,
2456682.62394,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.569,Z,9.214,9.751,,SN 2014J,AAVSO,STD,,,,
2456682.62430,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.568,Z,9.224,9.769,,SN 2014J,AAVSO,STD,,,,
2456682.624641,11.129,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.291,9.956,,SN 2014J,AAVSO,STD,,,,
2456682.62467,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.567,Z,9.214,9.784,,SN 2014J,AAVSO,STD,,,,
